"hcpcs_code","hcpcs_description"
"0298T","Ext ecg review and interp"
"11401","Exc tr-ext b9+marg 0.6-1 cm"
"12052","Intmd wnd repair face/mm"
"15220","Skin full graft sclp/arm/leg"
"15240","Skin full grft face/genit/hf"
"96416","Chemo prolong infuse w/pump"
"J0640","Leucovorin calcium injection"
"J1453","Fosaprepitant injection"
"J9206","Irinotecan injection"
"57150","Treat vagina infection"
"64417","N block inj axillary"
"99341","Home visit new patient"
"12034","Intmd wnd repair s/tr/ext"
"92610","Evaluate swallowing function"
"J1580","Garamycin gentamicin inj"
"95012","Exhaled nitric oxide meas"
"31541","Larynscop w/tumr exc + scope"
"92506","Speech/hearing evaluation"
"92520","Laryngeal function studies"
"70543","Mri orbt/fac/nck w/o & w/dye"
"86618","Lyme disease antibody"
"97022","Whirlpool therapy"
"44500","Intro gastrointestinal tube"
"74340","X-ray guide for GI tube"
"93930","Upper extremity study"
"15732","Muscle-skin graft head/neck"
"65210","Remove foreign body from eye"
"62370","Anl sp inf pmp w/mdreprg&fil"
"95991","Spin/brain pump refil & main"
"J2275","Morphine sulfate injection"
"33263","Remv&replc cvd gen dual lead"
"G0389","Ultrasound exam AAA screen"
"27244","Treat thigh fracture"
"73010","X-ray exam of shoulder blade"
"61510","Removal of brain lesion"
"61781","Scan proc cranial intra"
"61790","Treat trigeminal nerve"
"61796","Srs cranial lesion simple"
"70552","Mri brain w/dye"
"11307","Shave skin lesion"
"11310","Shave skin lesion"
"11312","Shave skin lesion"
"17281","Destruction of skin lesions"
"87101","Skin fungi culture"
"29125","Apply forearm splint"
"87210","Smear wet mount saline/ink"
"15574","Form skin pedicle flap"
"15576","Form skin pedicle flap"
"25000","Incision of tendon sheath"
"26040","Release palm contracture"
"31256","Exploration maxillary sinus"
"66170","Glaucoma surgery"
"68760","Close tear duct opening"
"52285","Cystoscopy and treatment"
"77073","X-rays bone length studies"
"90718","Td vaccine > 7 im"
"95926","Somatosensory testing"
"90945","Dialysis one evaluation"
"J0129","Abatacept injection"
"J3262","Tocilizumab injection"
"80102","Drug confirmation"
"82205","Assay of barbiturates"
"83840","Assay of methadone"
"83986","Assay ph body fluid nos"
"84315","Body fluid specific gravity"
"92283","Color vision examination"
"95060","Eye allergy tests"
"99234","Observ/hosp same date"
"36215","Place catheter in artery"
"36216","Place catheter in artery"
"75650","Artery x-rays head & neck"
"75671","Artery x-rays head & neck"
"75680","Artery x-rays neck"
"75685","Artery x-rays spine"
"92978","Intravasc us heart add-on"
"83909","Nucleic acid high resolute"
"87481","Candida dna amp probe"
"87511","Gardner vag dna amp probe"
"87798","Detect agent nos dna amp"
"52351","Cystouretero & or pyeloscope"
"64566","Neuroeltrd stim post tibial"
"86386","Nuclear matrix protein 22"
"81025","Urine pregnancy test"
"A9561","Tc99m oxidronate"
"72129","Ct chest spine w/dye"
"72270","Contrast x-ray spine"
"65222","Remove foreign body from eye"
"27093","Injection for hip x-ray"
"96920","Laser tx skin < 250 sq cm"
"72200","X-ray exam sacroiliac joints"
"73040","Contrast x-ray of shoulder"
"73525","Contrast x-ray of hip"
"Q2034","Agriflu vaccine"
"87084","Culture of specimen by kit"
"38571","Laparoscopy lymphadenectomy"
"55866","Laparo radical prostatectomy"
"43242","Uppr gi endoscopy w/us fn bx"
"66180","Implant eye shunt"
"67255","Reinforce/graft eye wall"
"57250","Repair rectum & vagina"
"71021","Chest x-ray"
"49568","Hernia repair w/mesh"
"J0287","Amphotericin b lipid complex"
"20005","I&d abscess subfascial"
"67220","Treatment of choroid lesion"
"93882","Extracranial study"
"J7120","Ringers lactate infusion"
"93886","Intracranial study"
"22523","Percut kyphoplasty thor"
"30300","Remove nasal foreign body"
"67850","Treat eyelid lesion"
"68815","Probe nasolacrimal duct"
"44207","L colectomy/coloproctostomy"
"64455","N block inj plantar digit"
"64632","N block inj common digit"
"27134","Revise hip joint replacement"
"J7312","Dexamethasone intra implant"
"61312","Open skull for drainage"
"61886","Implant neurostim arrays"
"A9581","Gadoxetate disodium inj"
"22520","Percut vertebroplasty thor"
"22521","Percut vertebroplasty lumb"
"35475","Repair arterial blockage"
"49424","Assess cyst contrast inject"
"50392","Insert kidney drain"
"50394","Injection for kidney x-ray"
"74425","Contrst x-ray urinary tract"
"74475","X-ray control cath insert"
"82024","Assay of acth"
"84432","Assay of thyroglobulin"
"95905","Motor/sens nrve conduct test"
"55840","Extensive prostate surgery"
"A4648","Implantable tissue marker"
"J3260","Tobramycin sulfate injection"
"85390","Fibrinolysins screen"
"82009","Test for acetone/ketones"
"82308","Assay of calcitonin"
"82652","Vit d 1 25-dihydroxy"
"82785","Assay of ige"
"83021","Hemoglobin chromotography"
"83519","Ria nonantibody"
"83525","Assay of insulin"
"83698","Assay lipoprotein pla2"
"84300","Assay of urine sodium"
"84305","Assay of somatomedin"
"84702","Chorionic gonadotropin test"
"85041","Automated rbc count"
"85049","Automated platelet count"
"85597","Phospholipid pltlt neutraliz"
"86060","Antistreptolysin o titer"
"86694","Herpes simplex test"
"86695","Herpes simplex test"
"86735","Mumps antibody"
"86762","Rubella antibody"
"86765","Rubeola antibody"
"86787","Varicella-zoster antibody"
"86906","Blood typing rh phenotype"
"87075","Cultr bacteria except blood"
"87177","Ova and parasites smears"
"87339","H pylori ag eia"
"89060","Exam synovial fluid crystals"
"57452","Exam of cervix w/scope"
"77370","Radiation physics consult"
"31505","Diagnostic laryngoscopy"
"31525","Dx laryngoscopy excl nb"
"J3410","Hydroxyzine hcl injection"
"G0275","Renal angio, cardiac cath"
"G0278","Iliac art angio,cardiac cath"
"49465","Fluoro exam of g/colon tube"
"51045","Incise bladder/drain ureter"
"76998","Us guide intraop"
"28002","Treatment of foot infection"
"11420","Exc h-f-nk-sp b9+marg 0.5 <"
"11440","Exc face-mm b9+marg 0.5 < cm"
"44213","Lap mobil splenic fl add-on"
"43280","Laparoscopy fundoplasty"
"43281","Lap paraesophag hern repair"
"10021","Fna w/o image"
"97762","C/o for orthotic/prosth use"
"82172","Assay of apolipoprotein"
"82610","Cystatin c"
"94644","Cbt 1st hour"
"A4565","Slings"
"P3001","Screening pap smear by phys"
"33210","Insert electrd/pm cath sngl"
"93285","Ilr device eval progr"
"00860","Anesth surgery of abdomen"
"J1630","Haloperidol injection"
"J2916","Na ferric gluconate complex"
"J0698","Cefotaxime sodium injection"
"70030","X-ray eye for foreign body"
"72202","X-ray exam sacroiliac joints"
"43264","Endo cholangiopancreatograph"
"43268","Endo cholangiopancreatograph"
"19303","Mast simple complete"
"53601","Dilate urethra stricture"
"76511","Ophth us quant a only"
"88188","Flowcytometry/read 9-15"
"12051","Intmd wnd repair face/mm"
"17315","Mohs surg addl block"
"00210","Anesth cranial surg nos"
"94070","Evaluation of wheezing"
"94680","Exhaled air analysis o2"
"69020","Drain outer ear canal lesion"
"46606","Anoscopy and biopsy"
"46924","Destruction anal lesion(s)"
"46930","Destroy internal hemorrhoids"
"90714","Td vaccine no prsrv >/= 7 im"
"J0735","Clonidine hydrochloride"
"28270","Release of foot contracture"
"28308","Incision of metatarsal"
"11641","Exc f/e/e/n/l mal+mrg 0.6-1"
"12053","Intmd wnd repair face/mm"
"57280","Suspension of vagina"
"33427","Repair of mitral valve"
"93602","Intra-atrial recording"
"93603","Right ventricular recording"
"93610","Intra-atrial pacing"
"93612","Intraventricular pacing"
"95250","Glucose monitoring cont"
"95251","Gluc monitor cont phys i&r"
"77328","Brachytx isodose plan compl"
"77787","Hdr brachytx over 12 chan"
"30903","Control of nosebleed"
"95027","Id allergy titrate-airborne"
"J1094","Inj dexamethasone acetate"
"88738","Hgb quant transcutaneous"
"51792","Urinary reflex study"
"63655","Implant neuroelectrodes"
"63662","Remove spine eltrd plate"
"95923","Autonomic nerv function test"
"32100","Exploration of chest"
"35011","Repair defect of artery"
"35860","Explore limb vessels"
"36563","Insert tunneled cv cath"
"36831","Open thrombect av fistula"
"43256","Uppr gi endoscopy w/stent"
"43269","Endo cholangiopancreatograph"
"43271","Endo cholangiopancreatograph"
"44366","Small bowel endoscopy"
"68200","Treat eyelid by injection"
"95938","Somatosensory testing"
"70460","Ct head/brain w/dye"
"22558","Lumbar spine fusion"
"49450","Replace g/c tube perc"
"15738","Muscle-skin graft leg"
"27602","Decompression of lower leg"
"31625","Bronchoscopy w/biopsy(s)"
"35372","Rechanneling of artery"
"35556","Artery bypass graft"
"35572","Harvest femoropopliteal vein"
"35665","Artery bypass graft"
"35666","Artery bypass graft"
"35681","Composite bypass graft"
"38760","Remove groin lymph nodes"
"43236","Uppr gi scope w/submuc inj"
"76816","Ob us follow-up per fetus"
"29581","Apply multlay comprs lwr leg"
"97598","Rmvl devital tis addl 20 cm<"
"97605","Neg press wound tx < 50 cm"
"80502","Lab pathology consultation"
"86078","Physician blood bank service"
"14000","Skin tissue rearrangement"
"65205","Remove foreign body from eye"
"68440","Incise tear duct opening"
"96154","Interv hlth/behav fam w/pt"
"76801","Ob us < 14 wks single fetus"
"76817","Transvaginal us obstetric"
"19296","Place po breast cath for rad"
"P9047","Albumin (human), 25%, 50ml"
"33517","Cabg artery-vein single"
"11044","Deb bone 20 sq cm/<"
"11047","Deb bone add-on"
"78802","Tumor imaging whole body"
"45341","Sigmoidoscopy w/ultrasound"
"0295T","Ext ecg complete"
"76873","Echograp trans r pros study"
"76965","Echo guidance radiotherapy"
"77778","Apply interstit radiat compl"
"77790","Radiation handling"
"90937","Hemodialysis repeated eval"
"99357","Prolonged service inpatient"
"78494","Heart image spect"
"G0421","Ed svc CKD grp per session"
"85032","Manual cell count each"
"22102","Remove part lumbar vertebra"
"22103","Remove extra spine segment"
"35458","Repair arterial blockage"
"35761","Exploration of artery/vein"
"36011","Place catheter in vein"
"36566","Insert tunneled cv cath"
"37250","Iv us first vessel add-on"
"49400","Air injection into abdomen"
"49900","Repair of abdominal wall"
"66172","Incision of eye"
"94690","Exhaled air analysis"
"J0610","Calcium gluconate injection"
"J3411","Thiamine hcl 100 mg"
"J3415","Pyridoxine hcl 100 mg"
"20937","Sp bone agrft morsel add-on"
"33259","Ablate atria w/bypass add-on"
"33530","Coronary artery bypass/reop"
"38746","Remove thoracic lymph nodes"
"93314","Echo transesophageal"
"30802","Ablate inf turbinate submuc"
"93784","Ambulatory BP monitoring"
"A9538","Tc99m pyrophosphate"
"52276","Cystoscopy and treatment"
"53660","Dilation of urethra"
"00170","Anesth procedure on mouth"
"91010","Esophagus motility study"
"91037","Esoph imped function test"
"95920","Intraop nerve test add-on"
"95939","C motor evoked upr&lwr limbs"
"52214","Cystoscopy and treatment"
"53850","Prostatic microwave thermotx"
"53852","Prostatic rf thermotx"
"53855","Insert prost urethral stent"
"53860","Transurethral rf treatment"
"28470","Treat metatarsal fracture"
"G0442","Annual alcohol screen 15 min"
"G0443","Brief alcohol misuse counsel"
"G0446","Intens behave ther cardio dx"
"75600","Contrast x-ray exam of aorta"
"93463","Drug admin & hemodynmic meas"
"J0475","Baclofen 10 MG injection"
"88121","Cytp urine 3-5 probes cmptr"
"95180","Rapid desensitization"
"73218","Mri upper extremity w/o dye"
"52647","Laser surgery of prostate"
"54405","Insert multi-comp penis pros"
"01935","Anesth perc img dx sp proc"
"60500","Explore parathyroid glands"
"43247","Operative upper GI endoscopy"
"95812","Eeg 41-60 minutes"
"J0587","Inj, rimabotulinumtoxinB"
"0159T","Cad breast mri"
"78580","Lung perfusion imaging"
"27506","Treatment of thigh fracture"
"G0437","Tobacco-use counsel>10min"
"G0447","Behavior counsel obesity 15m"
"95807","Sleep study attended"
"95887","Musc tst done w/n tst nonext"
"62362","Implant spine infusion pump"
"10180","Complex drainage wound"
"15275","Skin sub graft face/nk/hf/g"
"20220","Bone biopsy trocar/needle"
"28003","Treatment of foot infection"
"28122","Partial removal of foot bone"
"28805","Amputation thru metatarsal"
"28820","Amputation of toe"
"G0288","Recon, CTA for surg plan"
"33234","Removal of pacemaker system"
"33264","Remv&replc cvd gen mult lead"
"93291","Ilr device interrogate"
"93609","Map tachycardia add-on"
"51726","Complex cystometrogram"
"11400","Exc tr-ext b9+marg 0.5 < cm"
"J1380","Estradiol valerate 10 MG inj"
"31238","Nasal/sinus endoscopy surg"
"43752","Nasal/orogastric w/stent"
"00865","Anesth removal of prostate"
"92100","Serial tonometry exam(s)"
"95800","Slp stdy unattended"
"72193","Ct pelvis w/dye"
"31645","Bronchoscopy clear airways"
"01926","Anes tx interv rad hrt/cran"
"28292","Correction of bunion"
"95813","Eeg over 1 hour"
"95965","Meg spontaneous"
"J1440","Filgrastim 300 mcg injection"
"11960","Insert tissue expander(s)"
"29130","Application of finger splint"
"28296","Correction of bunion"
"11423","Exc h-f-nk-sp b9+marg 2.1-3"
"11442","Exc face-mm b9+marg 1.1-2 cm"
"11443","Exc face-mm b9+marg 2.1-3 cm"
"64421","N block inj intercost mlt"
"36217","Place catheter in artery"
"97018","Paraffin bath therapy"
"75952","Endovasc repair abdom aorta"
"Q9951","LOCM >= 400 mg/ml iodine,1ml"
"11441","Exc face-mm b9+marg 0.6-1 cm"
"00220","Anesth intrcrn nerve"
"96102","Psycho testing by technician"
"A0430","Fixed wing air transport"
"A0435","Fixed wing air mileage"
"93566","Inject r ventr/atrial angio"
"93568","Inject pulm art hrt cath"
"67950","Revision of eyelid"
"68326","Revise/graft eyelid lining"
"78598","Lung perf&ventilat diferentl"
"J3250","Trimethobenzamide hcl inj"
"64416","N block cont infuse b plex"
"93455","Coronary art/grft angio s&i"
"00120","Anesth ear surgery"
"34803","Endovas aaa repr w/3-p part"
"32608","Thoracoscopy w/bx nodule"
"92981","Insert intracoronary stent"
"Q9963","HOCM 350-399mg/ml iodine,1ml"
"44140","Partial removal of colon"
"45300","Proctosigmoidoscopy dx"
"74480","X-ray control cath insert"
"82330","Assay of calcium"
"94014","Patient recorded spirometry"
"00872","Anesth kidney stone destruct"
"78597","Lung perfusion differential"
"78805","Abscess imaging ltd area"
"63005","Removal of spinal lamina"
"75665","Artery x-rays head & neck"
"75676","Artery x-rays neck"
"27635","Remove lower leg bone lesion"
"27685","Revision of lower leg tendon"
"27698","Repair of ankle ligament"
"27702","Reconstruct ankle joint"
"28120","Part removal of ankle/heel"
"28300","Incision of heel bone"
"28313","Repair deformity of toe"
"90821","Psytx hosp 75-80 min"
"11606","Exc tr-ext mal+marg > 4 cm"
"27570","Fixation of knee joint"
"29828","Arthroscopy biceps tenodesis"
"29873","Knee arthroscopy/surgery"
"30930","Ther fx nasal inf turbinate"
"J3130","Testosterone enanthate inj"
"90827","Intac psytx hsp 45-50 w/e&m"
"95868","Muscle test cran nerve bilat"
"95955","EEG during surgery"
"67039","Laser treatment of retina"
"01610","Anesth surgery of shoulder"
"26110","Biopsy finger joint lining"
"Q4022","Cast sup sht arm splint fbrg"
"Q4049","Finger splint, static"
"25310","Transplant forearm tendon"
"26320","Removal of implant from hand"
"26445","Release hand/finger tendon"
"26525","Release finger contracture"
"29846","Wrist arthroscopy/surgery"
"67900","Repair brow defect"
"67916","Repair eyelid defect"
"67961","Revision of eyelid"
"67966","Revision of eyelid"
"75630","X-ray aorta leg arteries"
"93456","R hrt coronary artery angio"
"93286","Pre-op pm device eval"
"88291","Cyto/molecular report"
"88323","Microslide consultation"
"73701","Ct lower extremity w/dye"
"19000","Drainage of breast lesion"
"82486","Gas/liquid chromatography"
"27301","Drain thigh/knee lesion"
"33141","Heart tmr w/other procedure"
"00563","Anesth heart surg w/arrest"
"91122","Anal pressure record"
"G0141","Scr c/v cyto,autosys and md"
"61800","Apply srs headframe add-on"
"28825","Partial amputation of toe"
"17106","Destruction of skin lesions"
"31200","Removal of ethmoid sinus"
"67903","Repair eyelid defect"
"67911","Revise eyelid defect"
"68320","Revise/graft eyelid lining"
"68700","Repair tear ducts"
"12011","Repair superficial wound(s)"
"36246","Ins cath abd/l-ext art 2nd"
"36475","Endovenous rf 1st vein"
"37221","Iliac revasc w/stent"
"J2997","Alteplase recombinant"
"51785","Anal/urinary muscle study"
"86738","Mycoplasma antibody"
"87449","Ag detect nos eia mult"
"27880","Amputation of lower leg"
"83520","Immunoassay quant nos nonab"
"86226","Dna antibody single strand"
"86480","Tb test cell immun measure"
"J0718","Certolizumab pegol inj"
"62319","Inject spine w/cath l/s (cd)"
"Q9957","Inj perflutren lip micros,ml"
"50327","Prep renal graft/venous"
"29445","Apply rigid leg cast"
"86710","Influenza virus antibody"
"32663","Thoracoscopy w/lobectomy"
"32666","Thoracoscopy w/wedge resect"
"32667","Thoracoscopy w/w resect addl"
"86320","Serum immunoelectrophoresis"
"67036","Removal of inner eye fluid"
"92973","Percut coronary thrombectomy"
"93461","R&l hrt art/ventricle angio"
"93571","Heart flow reserve measure"
"88184","Flowcytometry/ tc 1 marker"
"88185","Flowcytometry/tc add-on"
"88237","Tissue culture bone marrow"
"88264","Chromosome analysis 20-25"
"88347","Immunofluorescent study"
"88348","Electron microscopy"
"49423","Exchange drainage catheter"
"90715","Tdap vaccine >7 im"
"57260","Repair of vagina"
"57282","Colpopexy extraperitoneal"
"64581","Implant neuroelectrodes"
"64585","Revise/remove neuroelectrode"
"64590","Insrt/redo pn/gastr stimul"
"49324","Lap insert tunnel ip cath"
"49326","Lap w/omentopexy add-on"
"37228","Tib/per revasc w/tla"
"57267","Insert mesh/pelvic flr addon"
"57285","Repair paravag defect vag"
"95971","Analyze neurostim simple"
"32650","Thoracoscopy w/pleurodesis"
"35656","Artery bypass graft"
"23120","Partial removal collar bone"
"23130","Remove shoulder bone part"
"66250","Follow-up surgery of eye"
"36584","Replace picc cath"
"50393","Insert ureteral tube"
"69200","Clear outer ear canal"
"00918","Anesth stone removal"
"36218","Place catheter in artery"
"J2720","Inj protamine sulfate/10 MG"
"93451","Right heart cath"
"20500","Injection of sinus tract"
"31000","Irrigation maxillary sinus"
"31002","Irrigation sphenoid sinus"
"31295","Sinus endo w/balloon dil"
"31296","Sinus endo w/balloon dil"
"69420","Incision of eardrum"
"J7626","Budesonide non-comp unit"
"J1568","Octagam injection"
"11981","Insert drug implant device"
"10160","Puncture drainage of lesion"
"91034","Gastroesophageal reflux test"
"37220","Iliac revasc"
"37233","Tibper revasc w/ather add-on"
"17260","Destruction of skin lesions"
"17270","Destruction of skin lesions"
"33244","Remove eltrd transven"
"33282","Implant pat-active ht record"
"33284","Remove pat-active ht record"
"93229","Remote 30 day ecg tech supp"
"93298","Ilr device interrogat remote"
"93600","Bundle of His recording"
"61782","Scan proc cranial extra"
"87660","Trichomonas vagin dir probe"
"J3360","Diazepam injection"
"11983","Remove/insert drug implant"
"J9225","Vantas implant"
"J7605","Arformoterol non-comp unit"
"A9560","Tc99m labeled rbc"
"63017","Removal of spinal lamina"
"54200","Treatment of penis lesion"
"76499","Radiographic procedure"
"63075","Neck spine disk surgery"
"88329","Path consult introp"
"P9612","Catheterize for urine spec"
"33430","Replacement of mitral valve"
"15777","Acellular derm matrix implt"
"44139","Mobilization of colon"
"44145","Partial removal of colon"
"44204","Laparo partial colectomy"
"46260","Remove in/ex hem groups 2+"
"93303","Echo transthoracic"
"Q9956","Inj octafluoropropane mic,ml"
"70370","Throat x-ray & fluoroscopy"
"57287","Revise/remove sling repair"
"64561","Implant neuroelectrodes"
"90809","Psytx off 75-80 w/e&m"
"88334","Intraop cyto path consult 2"
"G9005","MCCD, risk adj, maintenance"
"G9009","MCCD, risk adj, level 3"
"G9010","MCCD, risk adj, level 4"
"70492","Ct sft tsue nck w/o & w/dye"
"J2353","Octreotide injection, depot"
"J7060","5% dextrose/water"
"J9000","Doxorubicin hcl injection"
"J9370","Vincristine sulfate 1 MG inj"
"36800","Insertion of cannula"
"36832","Av fistula revision open"
"37193","Rem endovas vena cava filter"
"17264","Destruction of skin lesions"
"17273","Destruction of skin lesions"
"17283","Destruction of skin lesions"
"01920","Anesth catheterize heart"
"33860","Ascending aortic graft"
"0197T","Intrafraction track motion"
"62264","Epidural lysis on single day"
"J3470","Hyaluronidase injection"
"84703","Chorionic gonadotropin assay"
"G0432","EIA HIV-1/HIV-2 screen"
"28010","Incision of toe tendon"
"74360","X-ray guide gi dilation"
"75945","Intravascular us"
"75953","Abdom aneurysm endovas rpr"
"34802","Endovas aaa repr w/2-p part"
"95010","Percut allergy titrate test"
"95015","Id allergy titrate-drug/bug"
"96111","Developmental test extend"
"82664","Electrophoretic test"
"43241","Upper GI endoscopy with tube"
"43250","Upper GI endoscopy/tumor"
"94642","Aerosol inhalation treatment"
"69930","Implant cochlear device"
"43453","Dilate esophagus"
"43760","Change gastrostomy tube"
"20670","Removal of support implant"
"26045","Release palm contracture"
"26116","Exc hand tum deep < 1.5 cm"
"26210","Removal of finger lesion"
"64727","Internal nerve revision"
"93890","Tcd vasoreactivity study"
"93892","Tcd emboli detect w/o inj"
"46500","Injection into hemorrhoid(s)"
"61070","Brain canal shunt procedure"
"62252","Csf shunt reprogram"
"62350","Implant spinal canal cath"
"63661","Remove spine eltrd perq aray"
"63663","Revise spine eltrd perq aray"
"36592","Collect blood from picc"
"G0406","Inpt/tele follow up 15"
"G0407","Inpt/tele follow up 25"
"83518","Immunoassay dipstick"
"94453","Hast w/oxygen titrate"
"G0249","Provide INR test mater/equip"
"31570","Laryngoscope w/vc inj"
"01470","Anesth lower leg surgery"
"01474","Anesth lower leg surgery"
"13102","Repair wound/lesion add-on"
"13133","Repair wound/lesion add-on"
"J2360","Orphenadrine injection"
"64420","N block inj intercost sng"
"52235","Cystoscopy and treatment"
"78608","Brain imaging (PET)"
"78814","Pet image w/ct lmtd"
"86146","Glycoprotein antibody"
"87207","Smear special stain"
"64412","N block inj spinal accessor"
"64413","N block inj cervical plexus"
"67311","Revise eye muscle"
"67335","Eye suture during surgery"
"00770","Anesth blood vessel repair"
"01220","Anesth procedure on femur"
"29879","Knee arthroscopy/surgery"
"77261","Radiation therapy planning"
"77401","Radiation treatment delivery"
"J9155","Degarelix injection"
"J0561","Penicillin g benzathine inj"
"28104","Removal of foot lesion"
"28119","Removal of heel spur"
"93893","Tcd emboli detect w/inj"
"21235","Ear cartilage graft"
"00862","Anesth kidney/ureter surg"
"96120","Neuropsych tst admin w/comp"
"51727","Cystometrogram w/up"
"58260","Vaginal hysterectomy"
"58661","Laparoscopy remove adnexa"
"78006","Thyroid imaging with uptake"
"65435","Curette/treat cornea"
"65436","Curette/treat cornea"
"65450","Treatment of corneal lesion"
"67031","Laser surgery eye strands"
"67700","Drainage of eyelid abscess"
"67805","Remove eyelid lesions"
"67825","Revise eyelashes"
"67914","Repair eyelid defect"
"67915","Repair eyelid defect"
"67938","Remove eyelid foreign body"
"68020","Incise/drain eyelid lining"
"68110","Remove eyelid lining lesion"
"68135","Remove eyelid lining lesion"
"68330","Revise eyelid lining"
"68340","Separate eyelid adhesions"
"68400","Incise/drain tear gland"
"68705","Revise tear duct opening"
"93452","Left hrt cath w/ventrclgrphy"
"78215","Liver and spleen imaging"
"28124","Partial removal of toe"
"20900","Removal of bone for graft"
"28232","Incision of toe tendon"
"28750","Fusion of big toe joint"
"64787","Implant nerve end"
"27687","Revision of calf tendon"
"95829","Surgery electrocorticogram"
"95867","Muscle test cran nerv unilat"
"95870","Muscle test nonparaspinal"
"93505","Biopsy of heart lining"
"76001","Fluoroscope exam extensive"
"80150","Assay of amikacin"
"80178","Assay of lithium"
"80184","Assay of phenobarbital"
"80198","Assay of theophylline"
"81050","Urinalysis volume measure"
"82805","Blood gases w/o2 saturation"
"89055","Leukocyte assessment fecal"
"P9603","One-way allow prorated miles"
"15273","Skin sub grft t/arm/lg child"
"0216T","Njx paravert w/us lumb/sac"
"0217T","Njx paravert w/us lumb/sac"
"29260","Strapping of elbow or wrist"
"45990","Surg dx exam anorectal"
"82136","Amino acids quant 2-5"
"82261","Assay of biotinidase"
"82379","Assay of carnitine"
"82525","Assay of copper"
"82626","Dehydroepiandrosterone"
"82651","Assay of dihydrotestosterone"
"82725","Assay of blood fatty acids"
"82978","Assay of glutathione"
"84207","Assay of vitamin b-6"
"84252","Assay of vitamin b-2"
"84255","Assay of selenium"
"84425","Assay of vitamin b-1"
"84590","Assay of vitamin a"
"86353","Lymphocyte transformation"
"92507","Speech/hearing therapy"
"43273","Endoscopic pancreatoscopy"
"74329","X-ray for pancreas endoscopy"
"70320","Full mouth x-ray of teeth"
"14302","Skin tissue rearrange add-on"
"38500","Biopsy/removal lymph nodes"
"38510","Biopsy/removal lymph nodes"
"44378","Small bowel endoscopy"
"95925","Somatosensory testing"
"37215","Transcath stent cca w/eps"
"64555","Implant neuroelectrodes"
"65800","Drainage of eye"
"90472","Immunization admin each add"
"52265","Cystoscopy and treatment"
"57265","Extensive repair of vagina"
"58548","Lap radical hyst"
"29105","Apply long arm splint"
"29280","Strapping of hand or finger"
"Q4018","Cast sup lng arm splint fbrg"
"50205","Renal biopsy open"
"50605","Insert ureteral support"
"G0399","Home sleep test/type 3 Porta"
"87901","Genotype dna hiv reverse t"
"92612","Endoscopy swallow tst (fees)"
"60240","Removal of thyroid"
"76100","X-ray exam of body section"
"G9141","Influenza A H1N1,admin w cou"
"11644","Exc f/e/e/n/l mal+mrg 3.1-4"
"12041","Intmd wnd repair n-hf/genit"
"13120","Repair of wound or lesion"
"77262","Radiation therapy planning"
"77407","Radiation treatment delivery"
"77412","Radiation treatment delivery"
"G0404","EKG tracing for initial prev"
"94004","Vent mgmt nf per day"
"97804","Medical nutrition group"
"20245","Bone biopsy excisional"
"J9250","Methotrexate sodium inj"
"J9264","Paclitaxel protein bound"
"21079","Prepare face/oral prosthesis"
"70140","X-ray exam of facial bones"
"76102","Complex body section x-rays"
"25115","Remove wrist/forearm lesion"
"76970","Ultrasound exam follow-up"
"78473","Gated heart multiple"
"27690","Revise lower leg tendon"
"28001","Drainage of bursa of foot"
"28272","Release of toe joint each"
"92526","Oral function therapy"
"77373","Sbrt delivery"
"77435","Sbrt management"
"31233","Nasal/sinus endoscopy dx"
"64716","Revision of cranial nerve"
"92615","Eval laryngoscopy sense tst"
"69401","Inflate middle ear canal"
"A0999","Unlisted ambulance service"
"72090","X-ray exam of trunk spine"
"29884","Knee arthroscopy/surgery"
"92072","Fit contac lens for managmnt"
"53661","Dilation of urethra"
"G0281","Elec stim unattend for press"
"29085","Apply hand/wrist cast"
"Q4014","Cast sup gauntlet fiberglass"
"82003","Assay of acetaminophen"
"82487","Paper chromatography"
"82491","Chromotography quant sing"
"83789","Mass spectrometry quant"
"83825","Assay of mercury"
"84311","Spectrophotometry"
"65756","Corneal trnspl endothelial"
"11308","Shave skin lesion"
"11313","Shave skin lesion"
"37607","Ligation of a-v fistula"
"88262","Chromosome analysis 15-20"
"95070","Bronchial allergy tests"
"23040","Exploratory shoulder surgery"
"25605","Treat fracture radius/ulna"
"27033","Exploration of hip joint"
"27310","Exploration of knee joint"
"40800","Drainage of mouth lesion"
"J2270","Morphine sulfate injection"
"27507","Treatment of thigh fracture"
"27511","Treatment of thigh fracture"
"27759","Treatment of tibia fracture"
"36120","Establish access to artery"
"75658","Artery x-rays arm"
"11752","Remove nail bed/finger tip"
"28045","Exc foot/toe tum deep <1.5cm"
"95831","Limb muscle testing manual"
"95851","Range of motion measurements"
"19304","Mast subq"
"49585","Rpr umbil hern reduc > 5 yr"
"95961","Electrode stimulation brain"
"95962","Electrode stim brain add-on"
"95979","Analyz neurostim brain addon"
"93278","ECG/signal-averaged"
"13160","Late closure of wound"
"15003","Wound prep addl 100 cm"
"15830","Exc skin abd"
"94761","Measure blood oxygen level"
"22214","Revision of lumbar spine"
"22216","Revise extra spine segment"
"22554","Neck spine fusion"
"22585","Additional spinal fusion"
"63081","Removal of vertebral body"
"63082","Remove vertebral body add-on"
"63087","Removal of vertebral body"
"63088","Remove vertebral body add-on"
"63090","Removal of vertebral body"
"63091","Remove vertebral body add-on"
