credential,n,cleaned_credential,source
"O.D., RPH",1,,
"O.D.,F.A.A.O",1,,
"O.D.,INC.",1,,
"O.D.,P.C",1,,
O.D>,1,,
O.T.L.,1,,
O.T.R./C.H.T.,1,,
O.T.R./L.,1,,
OBGYN,1,,
"OBGYN, M.D",1,,
OD FAAO,1,,
OD LLC,1,,
OD MD,1,,
OD OPTOMETRIST,1,,
OD OPTOMETRY DOCTOR,1,,
OD PA,1,,
OD PLC,1,,
"OD,MS",1,,
OPHTHALMOLGIST M.D.,1,,
OPHTHALMOLOGIST,1,,
OPM DPM,1,,
"OPTOMETRIST, OD",1,,
OPTOMETRY,1,,
ORT,1,,
ORTL,1,,
"OT, CHT",1,,
"OT,CHT.",1,,
"OT/L,CHT",1,,
OTLRMSHS,1,,
OTR  CHT,1,,
OTR  L,1,,
"OTR L, CLVT",1,,
OTR LICENSE,1,,
OTR-CHT,1,,
OTR-L,1,,
"OTR, CVE, CHT",1,,
"OTR, DPT",1,,
"OTR, L CHT",1,,
"OTR,CHT",1,,
OTR/L CHT,1,,
"OTR/L, ATP,CDRS",1,,
"OTR/L, CHT, MSPT",1,,
"OTR/L, CLT",1,,
"OTR/L, HTC",1,,
"OTR/L, MD",1,,
"OTR/L,CHT,CVE",1,,
OTR/L/CHT,1,,
OTRIL,1,,
OTRIL CHT,1,,
OTRL CLT,1,,
"OTYR/L, CHT",1,,
OWNER,1,,
P A,1,,
P-MHNP,1,,
P. A,1,,
"P.A,",1,,
P.A. -C,1,,
P.A.- C,1,,
"P.A.-C. , MHS",1,,
"P.A., C",1,,
"P.A.,C",1,,
"P.A.,D.C",1,,
"P.A.,N.P.",1,,
P.C.,1,,
P.H.D,1,,
"P.T,",1,,
"P.T. , D.SC.",1,,
"P.T. , DPT",1,,
P.T. AND A.T.C.,1,,
P.T. BS,1,,
P.T. M.A.,1,,
P.T. O.C.S.,1,,
"P.T.,",1,,
"P.T., ATC",1,,
"P.T., ATC, COF",1,,
"P.T., CKTP",1,,
"P.T., D.P.T",1,,
"P.T., D.P.T., M.H.S.",1,,
"P.T., D.P.T.,CSCS",1,,
"P.T., L.AC.",1,,
"P.T., M.S., CSCS",1,,
"P.T., O.C.S.",1,,
"P.T., OCS",1,,
"P.T., PH.D.",1,,
"P.T.,C.H.T.",1,,
"P.T.,CMDT, MBA, CEAS",1,,
"P.T.,M.S.,D.P.T.",1,,
P.T.D.P.T,1,,
P/A,1,,
PA (PHYSICIAN ASSIST,1,,
PA-AA,1,,
"PA-C , AT-C",1,,
"PA-C, ATC",1,,
"PA-C, ATC/L",1,,
"PA-C, EDD",1,,
"PA-C, LMT",1,,
"PA-C, M.S.",1,,
"PA-C, MMS",1,,
"PA-C, MMSC",1,,
"PA-C, MPAS.",1,,
"PA-C, OTR/L",1,,
"PA-C, PHARM.D.",1,,
"PA-C, RD, CDE",1,,
"PA, MMS",1,,
"PA, RN",1,,
"PA, RPT",1,,
"PA,CCP",1,,
PA.A,1,,
PA.C.,1,,
PA/C,1,,
PAC CDE,1,,
PAC MHP CDE,1,,
PAS,1,,
PC-C,1,,
PH D HSPP,1,,
"PH,D,",1,,
"PH,D.",1,,
PH. D,1,,
"PH. D, MD",1,,
PH. D. LICENSED PSYC,1,,
"PH., D.",1,,
"PH.D, HSPP",1,,
"PH.D, L.P.",1,,
PH.D.  M.D.,1,,
PH.D. CCC-A,1,,
PH.D. CLINICAL PSYCH,1,,
"PH.D., ABPP",1,,
"PH.D., C.R.N.A.",1,,
"PH.D., CCC-A, FAAA",1,,
"PH.D., DO",1,,
"PH.D., LCSW",1,,
"PH.D., P.C.",1,,
"PH.D., PA",1,,
"PH.D., PA-C",1,,
"PH.D., PSY.D.",1,,
"PH.D., PSYCHOLOGIST",1,,
"PH.D.,PSY.D.",1,,
PHD  LCSW,1,,
PHD APRN,1,,
PHD APRN BC,1,,
PHD CLINICAL PSYCHOL,1,,
PHD DO,1,,
PHD IN AUDIOLOGY,1,,
PHD LCSW,1,,
PHD LICSWC BCD,1,,
PHD MFT,1,,
PHD PSYD,1,,
PHD PT,1,,
"PHD,",1,,
"PHD, ABPN",1,,
"PHD, ABPP",1,,
"PHD, ANP-C",1,,
"PHD, CCC-SLP",1,,
"PHD, D.O",1,,
"PHD, HSPP",1,,
"PHD, LCSW, BCD",1,,
"PHD, LISCW",1,,
"PHD, M.D.",1,,
"PHD, MNS, RD",1,,
"PHD, MP",1,,
"PHD, PAC",1,,
"PHD, PLLC",1,,
"PHD, RPAC",1,,
"PHD,MD",1,,
PHD.L.P.,1,,
PHISICAL THERAPIST,1,,
"PHM-CNS/NP B.C., PHD",1,,
PHYSCIAL THERAPIST,1,,
PHYSCIAN ASSISTANT,1,,
PHYSICAL THARAPIST,1,,
PHYSICALTHERAPIST,1,,
PHYSICAN ASSISTANT,1,,
PHYSICIAN,1,,
PHYSICIAN ASSISTENT,1,,
PHYSICIAN ASST.,1,,
PHYSICIANS ASSISTANC,1,,
PMH CNS-BC,1,,
PMH NP,1,,
PMH-NP,1,,
"PMH-NP, PH.D.",1,,
"PMH, CNP/CNS",1,,
"PMHCNS,BC",1,,
"PMHNP-BC, LCSW",1,,
PMHNP-C,1,,
"PMHNP, RN",1,,
PS,1,,
PSY,1,,
PSY D LCSW LMFT,1,,
"PSY, LPC",1,,
PSY. D,1,,
"PSY.D, L.P.",1,,
PSY.D; DR.P.H,1,,
"PSY.D., HSPP",1,,
"PSY.D., J.D.",1,,
"PSY.D., LCSW",1,,
"PSY.D., M.P.",1,,
PSY.D.LP,1,,
PSYCHIATRY MD,1,,
PSYCHOLOGIS,1,,
PSYD CP,1,,
PSYD LCSW,1,,
"PSYD, L.P.",1,,
"PSYD, PHD",1,,
"PSYD,LP",1,,
"PSYD., HSPP",1,,
PT  DPT,1,,
PT  DPT CSCS,1,,
PT AT C,1,,
PT ATC,1,,
PT ATC CSCS,1,,
PT CERT MDT,1,,
PT CSCS,1,,
PT CWS,1,,
PT DPT MED,1,,
PT DPT MHSC MTC,1,,
PT DPT OCS,1,,
PT DPT OCS CSCS CKTP,1,,
PT FFAAOMPT,1,,
PT LIC ACC,1,,
PT MHS OCS,1,,
PT MOMT FAAOMT,1,,
PT MPT CIMT CSCS,1,,
PT MPT OCS GCFP,1,,
PT MS GCS,1,,
PT OCS ATC,1,,
PT OMPT,1,,
PT PHYSICAL THERAPY,1,,
PT THERAPIST,1,,
"PT,  MPT",1,,
"PT, ATC, CSCS",1,,
"PT, ATC, MTC",1,,
"PT, CERT. MDT",1,,
"PT, CLT, CFM",1,,
"PT, CSCS",1,,
"PT, DC",1,,
"PT, DHS, OCS",1,,
"PT, DPT, CFT,CCI",1,,
"PT, DPT, MPT, BS",1,,
"PT, DPT, MS, ATC",1,,
"PT, DPT, OCS, CSCS,",1,,
"PT, DPT, OMPT",1,,
"PT, DPT, OMT, MS",1,,
"PT, DPT,OCS",1,,
"PT, DSC",1,,
"PT, DSC, ECS, OCS",1,,
"PT, GCS",1,,
"PT, LAT",1,,
"PT, LAT, ATC",1,,
"PT, MA, NCS",1,,
"PT, MBA",1,,
"PT, MHS, CHT",1,,
"PT, MOMT",1,,
"PT, MPH",1,,
"PT, MS, ATC",1,,
"PT, MS, DPT",1,,
"PT, MSPT, CCS",1,,
"PT, MTC",1,,
"PT, MTC, CERT. MDT",1,,
"PT, MTC, CSCS",1,,
"PT, OCS, ATC",1,,
"PT, OCS, COMT,FAAOMT",1,,
"PT, OTR, CHT",1,,
"PT, PA",1,,
"PT, PAAA",1,,
"PT, SCD, COMT",1,,
"PT, SCD, OCS, FAAOMP",1,,
"PT, SCS, COMT",1,,
"PT, SCS, CSCS",1,,
"PT,ATC",1,,
"PT,DIP.MDT",1,,
"PT,DPT, CSCS",1,,
"PT,DPT,MTC, CFC",1,,
"PT,DPT,OSC,RKC",1,,
"PT,DSC.,MPT,MMT,OCS",1,,
"PT,FAAOMPT",1,,
"PT,MPT,MS",1,,
"PT,MS,OSC",1,,
"PT,OCS",1,,
"PT,OCS,CERT.MDT,CSCS",1,,
"PT.,L., AC.,C.S.C.S",1,,
PT/LMT,1,,
"PT<,ATC, CSCS",1,,
PTBS,1,,
PTCERTMDT,1,,
PTMPA,1,,
PTMSOCS,1,,
PTSCS,1,,
PYS.D.,1,,
QMHP,1,,
R PA-C,1,,
"R. N., M.S.N, A.P.N.",1,,
"R. N., N. P.",1,,
"R.D,",1,,
"R.D, C.D",1,,
"R.D, L.D.",1,,
R.D. L.D.,1,,
"R.D., C.D.-N.",1,,
"R.D., C.D.E.",1,,
"R.D., C.D.N., C.D.E.",1,,
"R.D., LDN",1,,
"R.D., LMNT, CDE",1,,
"R.N, A.P.N.",1,,
"R.N, AHCNS",1,,
"R.N., A.N.P.",1,,
"R.N., A.P.N.P.",1,,
"R.N., APRN-BC",1,,
"R.N., B.S.N.",1,,
"R.N., C.N.S.",1,,
"R.N., D.C.",1,,
"R.N., D.C., C.D.N",1,,
"R.N., F.N.P.-B.C.",1,,
"R.N., L.I.S.W CP",1,,
"R.N., M.P.H.",1,,
"R.N., M.S.N.",1,,
"R.N., M.S.N., C.S.",1,,
"R.N., MSN, AOCNS",1,,
"R.N., MSN, APRN,BC",1,,
"R.N., MSN, FNP-C",1,,
"R.N., N.P., C.N.S.",1,,
"R.N., NP-BC",1,,
"R.N.,MS,CNS",1,,
R.N.A.N.P.-C,1,,
"R.N.C., M.S., N.P.",1,,
R.N.P.C.,1,,
R.P.A,1,,
R.P.A.-C,1,,
R.P.A.-C.,1,,
"RD ,CDE",1,,
RD CD,1,,
RD LD,1,,
RD LDN,1,,
"RD, CD",1,,
"RD, CD-N, CDE",1,,
"RD, CDE",1,,
"RD, CDE, CDN",1,,
"RD, CDN",1,,
"RD, CDN, CDE",1,,
"RD, LD",1,,
"RD, LD, CDE",1,,
"RD, LD, LMT",1,,
"RD, LDN, CDE",1,,
"RD,CDE",1,,
"RD,CDE, LDN",1,,
"RD,CDN",1,,
"RD,LDN,CDE",1,,
RD/CDE,1,,
RD/LDN,1,,
REGISTER NURSE,1,,
REGISTERED DIETITIAN,1,,
REGISTERED NURSE NP,1,,
REGISTERED PHYSICAL,1,,
RLCSW,1,,
RN  GNP,1,,
RN ANP,1,,
RN APN NP-C,1,,
RN APRN,1,,
RN ARNP,1,,
RN ARNP CRNA,1,,
RN BC FNP,1,,
RN BC-ANP,1,,
RN CS,1,,
RN CS FNP,1,,
RN DC,1,,
RN FNPC,1,,
RN MS BC ANP ACNP,1,,
RN MS CFNP,1,,
RN MSN AHNP FNP,1,,
RN MSN ANP,1,,
RN MSN APN,1,,
RN MSN ARNP FNP-BC,1,,
RN MSN FNPC,1,,
RN P,1,,
"RN-C, FNP",1,,
RN-CNS,1,,
"RN-CS, MSN",1,,
RN-FNP,1,,
"RN,  APN",1,,
"RN, ACNP",1,,
"RN, ACNP - BC",1,,
"RN, ACNP-BC, CCRN",1,,
"RN, ANP-BC",1,,
"RN, ANP-C",1,,
"RN, ANP, GNP",1,,
"RN, APRN",1,,
"RN, APRN-BC",1,,
"RN, APRN-BC (ANP)",1,,
"RN, APRN, FNP",1,,
"RN, ARNP",1,,
"RN, BC, AP/MHNP",1,,
"RN, BC, FNP, ACNS-BC",1,,
"RN, BSN, CRNA",1,,
"RN, BSN, MSN, APNP",1,,
"RN, BSN, SRNA",1,,
"RN, CCRN, ACNP, APRN",1,,
"RN, CFNP",1,,
"RN, CNS, FNP, CDE",1,,
"RN, CNS, MSN",1,,
"RN, CNS, NP",1,,
"RN, CS",1,,
"RN, CS, ANP",1,,
"RN, CWON, MSN",1,,
"RN, DC",1,,
"RN, FPMHNP",1,,
"RN, FWP",1,,
"RN, MA, CNS",1,,
"RN, MN, CNS, ANP-C",1,,
"RN, MN, FNP-C",1,,
"RN, MN, PMHNP",1,,
"RN, MS",1,,
"RN, MS, CNP",1,,
"RN, MS, CNS",1,,
"RN, MS, CRNP, ACHPN",1,,
"RN, MS, ENP",1,,
"RN, MS, MSN, FNP-BC",1,,
"RN, MSN, ANP, CWOCN",1,,
"RN, MSN, APN, CNS",1,,
"RN, MSN, APRN, BC",1,,
"RN, MSN, ARNP",1,,
"RN, MSN, ARNP-C",1,,
"RN, MSN, CCNS, CFNP",1,,
"RN, MSN, CCRN, APN-C",1,,
"RN, MSN, CFNP, CPNP",1,,
"RN, MSN, CNE, FNP-BC",1,,
"RN, MSN, CNS",1,,
"RN, MSN, CRNA",1,,
"RN, MSN, PCCN, APRN",1,,
"RN, MSN,ARNP-BC",1,,
"RN, NPP",1,,
"RN, PHD, GNP-BC",1,,
"RN, WHNP-BC",1,,
"RN,A/GNP-C",1,,
"RN,APN",1,,
"RN,APN-C",1,,
"RN,APN,C",1,,
"RN,APN,CNS",1,,
"RN,BSN,CRNA",1,,
"RN,C,FNP",1,,
"RN,C.S.,F.N.P.",1,,
"RN,CNS",1,,
"RN,CRNA",1,,
"RN,DC",1,,
"RN,FNP, BC",1,,
"RN,FNP,APN",1,,
"RN,MS,APN,ONC",1,,
"RN,MS,ARNP,CHPN",1,,
"RN,MS,CS-P",1,,
"RN,MS,CS,CACIII",1,,
"RN,MS,NPC",1,,
"RN,MSN, NP, APRN",1,,
"RN,MSN,ACNP",1,,
"RN,MSN,CNM",1,,
"RN,MSN,CNS,ARNP",1,,
"RN,MSN,CRNA",1,,
"RN,MSN,F.N.P.-C",1,,
"RN,MSN,FNP",1,,
"RN,MSN,PMHNP",1,,
"RN,NP-C",1,,
"RN,NP-C,CNOR,RNFA",1,,
RN. APN-C,1,,
"RN., BC., FNP",1,,
RN/PC,1,,
"RN/PC, PMHCNS-BC",1,,
RNBCFNP,1,,
RNC,1,,
RNC ARNP WHNP,1,,
RNC MSN,1,,
RNC-OB,1,,
"RNC, MS, CRNP, APRN",1,,
"RNC, MSN, FNP",1,,
"RNC, WHNP",1,,
"RNC,ANP",1,,
"RNC,WHNP",1,,
"RNCS, APRN",1,,
RNCSFNP,1,,
ROBIN  RAHM,1,,
RONALD  SANDERS,1,,
"RPA-C, MHA",1,,
RPH,1,,
"RPT,  ECS",1,,
"RPT, ATC",1,,
"RPT, DC",1,,
"RPT, DPT",1,,
RPT.,1,,
"RRT, RNC, MSN, FNP",1,,
"RXN, NP",1,,
S.L.P.,1,,
S.W.,1,,
SLP-CCC,1,,
"SOCIAL WORKER, CLINI",1,,
STUDENT,1,,
SURGEON'S ASSISTANT,1,,
SW,1,,
W.H.N.P.,1,,
WHCNP,1,,
WHNP-BC,1,,
"WHNP-BC, CNM, MS",1,,
"WHNP-BC, GNP-BC",1,,
WHNP-C,1,,
YVONNE  WILSON,1,,
